Code gare;Intitul̩ gare;Nombre plateformes;Segment DRG;UIC;Unit̩ gare;TVS;Code postal;Commune;D̩partement - Commune;D̩partement;R̩gion;Agence G&C;R̩gion SNCF;Niveau de service;Longitude WGS 84;Latitude WGS 84;Date fin validit̩ gare
1728;Plouvara - Plerneuf;1;c;87473132;;PPF;22170;Plouvara;22-234;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.8925136;48.508585;
1729;La M̩augon;1;c;87473124;;MHT;22440;M̩augon;22-144;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.8439358;48.4996127;
1730;Yffiniac;1;c;87473116;;YFV;22120;Yffiniac;22-389;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.6524629;48.4702462;
1731;Lamballe;1;b;87473108;;LAM;22400;Lamballe;22-093;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;2;-2.511546;48.466060  ;
1732;Plestan;1;c;87473090;;PLE;22640;Plestan;22-193;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.4424607;48.4256462;
1733;Pl̩n̩e-Jugon;1;c;87473082;;PLJ;22640;Pl̩n̩e-Jugon;22-185;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.3546108;48.376656;
1734;Broons;1;c;87473074;;BOS;22250;Broons;22-020;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.2356578;48.3332957;
1735;Caulnes;1;c;87473066;;CUL;22350;Caulnes;22-032;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.155593;48.2844264;
1736;Qu̩dillac;1;c;87473058;;QDC;35290;Qu̩dillac;35-234;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-2.1452204;48.2484804;
1737;Saint-Brieuc;1;a;87473009;;SBC;22000;Saint-Brieuc;22-278;C̫tes-d'Armor;Bretagne;AG Centre-Ouest;REGION BRETAGNE;2; -2.765000;48.507580;
1738;Zu Rhein;1;c;87472639;;;68200;Mulhouse;68-224;Haut-Rhin;Alsace;AG Est-Europ̩en;REGION ALSACE;1;7.3170514;47.7434965;
1740;Thann Centre;1;c;87472605;;;68800;Thann;68-334;Haut-Rhin;Alsace;AG Est-Europ̩en;REGION ALSACE;1;7.101046;47.8099229;
1741;Noyal - Acign̩;1;c;87471540;;NOC;35530;Noyal-sur-Vilaine;35-207;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.5277646;48.1187915;
1742;Servon;1;c;87471532;;SVO;35530;Servon-sur-Vilaine;35-327;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.4667757;48.112224;
1743;Ch̢teaubourg;1;b;87471524;;CTG;35220;Ch̢teaubourg;35-068;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.405159;48.106361  ;
1744;Les Lacs;1;c;87471516;;LCK;35500;Saint-Aubin-des-Landes;35-252;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.3208165;48.1094359;
1745;Vitr̩;1;b;87471508;;VTE;35500;Vitr̩;35-360;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;2;-1.211754;48.122671  ;
1746;Chevaign̩;1;c;87471458;;CWH;35250;Chevaign̩;35-079;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.6307622;48.2089042;
1747;Pontchaillou;1;b;87471391;;PCI;35033;Rennes;35-238;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.69107;48.11918;
1748;Martign̩-Ferchaud;1;c;87471367;;MAF;35640;Martign̩-Ferchaud;35-167;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.3137943;47.8321302;
1749;Retiers;1;c;87471359;;RTI;35240;Retiers;35-239;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.3898439;47.9132599;
1750;Le Theil-de-Bretagne;1;c;87471342;;TIB;35240;Theil-de-Bretagne;35-333;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.4319925;47.918742;
1751;Janz̩;1;b;87471334;;JZE;35150;Janz̩;35-136;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.497538;47.955364  ;
1752;Corps-Nuds;1;c;87471326;;CPS;35150;Corps-Nuds;35-088;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.5754724;47.9851669;
1753;Saint-Armel;1;c;87471318;;XAL;35230;Saint-Armel;35-250;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.5948867;48.014405;
1754;Redon;1;b;87471300;;RDN;35600;Redon;35-236;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;2;-2.087770;47.652004  ;
1755;Mass̩rac;1;c;87471227;;MWK;44290;Mass̩rac;44-092;Loire-Atlantique;Pays de la Loire;AG Centre-Ouest;REGION BRETAGNE;1;-1.9144441;47.6745316;
1756;Besl̩;1;c;87471219;;BIQ;44290;Gu̩men̩-Penfao;44-067;Loire-Atlantique;Pays de la Loire;AG Centre-Ouest;REGION BRETAGNE;1;-1.8706374;47.6988788;
1757;Fougeray - Langon;1;c;87471201;;FGL;35390;Langon;35-145;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.8510921;47.7297956;
1758;Messac - Guipry;1;b;87471185;;MES;35480;Messac;35-176;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.81822;47.82225;
1759;Pl̩ch̢tel;1;c;87471177;;PCT;35470;Pl̩ch̢tel;35-221;Ille-et-Vilaine;Bretagne;AG Centre-Ouest;REGION BRETAGNE;1;-1.7763615;47.8719509;
